,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
1202,Narkatiaganj,Bagaha,KAMLESH RAY,The Plurals Party,635,0,635,0.44,Gaura Bauram
1203,Bagaha,Lauriya,KUNDAN PRASAD SHAH,"Aam Janmat Party,",748,0,748,0.52,Gaura Bauram
1204,Lauriya,Nautan,KHAWAJA MOHAMMAD FAKHRUDDIN,Bhartiya Rashtriya Dal,449,0,449,0.31,Gaura Bauram
1205,Nautan,Chanpatia,BAIJU SAHU,Wazib Adhikar Party,415,0,415,0.29,Gaura Bauram
1206,Chanpatia,Bettiah,RANJIT SAHNI,Bahujan Mukti Party,352,Valmikinagar,353,0.24,Gaura Bauram
1207,Bettiah,Sikta,RAMESH KUMAR PANDIT,Janata Dal  (Secular),354,0,354,0.25,Gaura Bauram
1208,Sikta,Raxaul,VISHWAMBHAR YADAV,Jan Adhikar Party (Loktantrik),597,0,597,0.41,Gaura Bauram
1209,Raxaul,Sugauli,SHUBH KANT SADA,Rashtriya Jan Kalyan Party Secular,627,0,627,0.43,Gaura Bauram
1210,Sugauli,Narkatia,SATYA NARAYAN PASWAN,Mazdoor Ekta Party,623,0,623,0.43,Gaura Bauram
1211,Narkatia,Harsidhi (S.C),SAROJ KUMAR CHAUDHARY,Mithilanchal Mukti Morcha,1685,0,1685,1.17,Gaura Bauram
1212,Harsidhi (S.C),Govindganj,SWARNA SINGH,Vikassheel Insaan Party,59489,Araria,59538,41.26,Gaura Bauram
1213,Govindganj,Kesaria,AJAY YADAV,Independent,1175,0,1175,0.81,Gaura Bauram
1214,Kesaria,Kalyanpur,DR IZHAR AHMAD,Independent,5474,Sugauli,5485,3.8,Gaura Bauram
1215,Kalyanpur,Pipra,MD ISARAFIL,Independent,1944,0,1944,1.35,Gaura Bauram
1216,Pipra,Madhuban,GAURAV KUMAR SINGH,Independent,377,Valmikinagar,378,0.26,Gaura Bauram
1217,Madhuban,Motihari,CHANDAN KUMAR MISHRA,Independent,1209,0,1209,0.84,Gaura Bauram
1218,Motihari,Chiraiya,RAJNI MAHATO,Independent,3407,0,3407,2.36,Gaura Bauram
1219,Chiraiya,Dhaka,RANDHEER KUMAR,Independent,279,0,279,0.19,Gaura Bauram
1220,Dhaka,Sheohar,RAHUL KUMAR JHA,Independent,527,0,527,0.37,Gaura Bauram
1221,Sheohar,Riga,SHYAM SADA,Independent,445,0,445,0.31,Gaura Bauram
1222,Riga,Bathnaha,SANJAY KUMAR YADAV,Independent,257,0,257,0.18,Gaura Bauram
1223,Bathnaha,Parihar,NOTA,None of the Above,770,0,770,0.53,Gaura Bauram
1224,0,Valmikinagar,Kamal Ram Vinod Jha,Lok Jan Shakti Party,17585,Harlakhi,17616,10.78,Benipur
1225,Valmikinagar,Ramnagar,Mithilesh Kumar Choudhary,Indian National Congress,54529,297,54826,33.55,Benipur
1226,Ramnagar,Narkatiaganj,Rajeev Kumar,Rashtriya Lok Samta Party,4630,Sugauli,4641,2.84,Benipur
1227,Narkatiaganj,Bagaha,Binay Kumar Choudhary,Janata Dal (United),61322,Muzaffarpur,61416,37.58,Benipur
1228,Bagaha,Lauriya,Nathuni Ram,Wazib Adhikar Party,1927,Ramnagar,1929,1.18,Benipur
1229,Lauriya,Nautan,Rajesh Kumar Mishra,Jan Adhikar Party (Loktantrik),1576,0,1576,0.96,Benipur
1230,Nautan,Chanpatia,Sanjeev Jha,Shiv Sena,757,0,757,0.46,Benipur
1231,Chanpatia,Bettiah,Md. Quamrul Hoda,Independent,538,0,538,0.33,Benipur
1232,Bettiah,Sikta,Manoj Kumar,Independent,888,Valmikinagar,889,0.54,Benipur
1233,Sikta,Raxaul,Mithlesh Yadav,Independent,607,Valmikinagar,608,0.37,Benipur
1234,Raxaul,Sugauli,Ranjeet Kumar Jha,Independent,966,Valmikinagar,967,0.59,Benipur
1235,Sugauli,Narkatia,Ram Kumar Jha,Independent,6215,Nautan,6221,3.81,Benipur
1236,Narkatia,Harsidhi (S.C),Sanjeet Kumar,Independent,3741,0,3741,2.29,Benipur
1237,Harsidhi (S.C),Govindganj,Saguni Ray,Independent,3082,0,3082,1.89,Benipur
1238,Govindganj,Kesaria,NOTA,None of the Above,4620,Valmikinagar,4621,2.83,Benipur
1239,0,Valmikinagar,Raj Kumar Jha,Lok Jan Shakti Party,8840,Raxaul,8850,5.6,Alinagar
1240,Valmikinagar,Ramnagar,Binod Mishra,Rashtriya Janata Dal,57654,327,57981,36.66,Alinagar
1241,Ramnagar,Narkatiaganj,Md Nasar Nabab,Samajwadi Janata Dal Democratic,1573,Narkatiaganj,1576,Valmikinagar,Alinagar
1242,Narkatiaganj,Bagaha,Farhan Alam,Loktantrik Janshakti Party,1274,Valmikinagar,1275,0.81,Alinagar
1243,Bagaha,Lauriya,Mishri Lal Yadav,Vikassheel Insaan Party,61024,Kasba,61082,38.62,Alinagar
1244,Lauriya,Nautan,Mohammad Jamir,Wazib Adhikar Party,1704,Valmikinagar,1705,1.08,Alinagar
1245,Nautan,Chanpatia,Vinod Yadav,Rashtravadi Janata Party,916,Narkatia,928,0.59,Alinagar
1246,Chanpatia,Bettiah,Sanjay Kumar Singh,Jan Adhikar Party (Loktantrik),9718,Motihari,9737,6.16,Alinagar
1247,Bettiah,Sikta,Md Naseem Azam Siddiqui,Independent,2413,0,2413,1.53,Alinagar
1248,Sikta,Raxaul,Fakira Paswan,Independent,4468,0,4468,2.83,Alinagar
1249,Raxaul,Sugauli,Rajipal Jha,Independent,1087,0,1087,0.69,Alinagar
1250,Sugauli,Narkatia,Shambhu Mishra,Independent,2176,Ramnagar,2178,1.38,Alinagar
1251,Narkatia,Harsidhi (S.C),Sulekha Devi,Independent,1936,Ramnagar,1938,1.23,Alinagar
1252,Harsidhi (S.C),Govindganj,NOTA,None of the Above,2940,Valmikinagar,2941,1.86,Alinagar
1253,0,Valmikinagar,PRADEEP KUMAR THAKUR,Lok Jan Shakti Party,17586,Motihari,17605,11.19,Darbhanga Rural
1254,Valmikinagar,Ramnagar,FARAZ FATMI,Janata Dal (United),62675,Ekma,62788,39.9,Darbhanga Rural
1255,Ramnagar,Narkatiaganj,Lalit Kumar Yadav,Rashtriya Janata Dal,64694,Rajauli,64929,41.26,Darbhanga Rural
1256,Narkatiaganj,Bagaha,SUNIL KUMAR MANDAL,Bahujan Samaj Party,1659,0,1659,1.05,Darbhanga Rural
1257,Bagaha,Lauriya,RAKESH KUMAR MANDAL,Rashtriya Jansambhavna Party,1309,Valmikinagar,1310,0.83,Darbhanga Rural
1258,Lauriya,Nautan,AZIZUR RAHAMAN,Independent,2088,0,2088,1.33,Darbhanga Rural
1259,Nautan,Chanpatia,DEO NARAYAN GUPTA,Independent,3032,0,3032,1.93,Darbhanga Rural
1260,Chanpatia,Bettiah,NOTA,None of the Above,3937,0,3937,2.5,Darbhanga Rural
1261,0,Valmikinagar,Amar Nath Gami,Rashtriya Janata Dal,73135,370,73505,43.08,Darbhanga
1262,Valmikinagar,Ramnagar,Sanjay Saraogi,Bharatiya Janata Party,84005,Rosera,84144,49.32,Darbhanga
1263,Ramnagar,Narkatiaganj,MD. Amjad Khan,Samajwadi Janata Dal Democratic,709,Valmikinagar,710,0.42,Darbhanga
1264,Narkatiaganj,Bagaha,Nooruddin Zangi,SOCIAL DEMOCRATIC PARTY OF INDIA,519,Bagaha,523,0.31,Darbhanga
1265,Bagaha,Lauriya,Md. Pintu Khan,Loktantrik Janshakti Party,Ujiarpur,Valmikinagar,Morwa,0.08,Darbhanga
1266,Lauriya,Nautan,Mahendra Kumar Paswan,"Bhartiya Garibmazdoor Party,",Baruraj,0,Baruraj,0.06,Darbhanga
1267,Nautan,Chanpatia,Mohammad Mojahid,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Sultanganj,0,Sultanganj,0.09,Darbhanga
1268,Chanpatia,Bettiah,RAJ KUMAR MAHTO,Yuva Krantikari Party,Chapra,Valmikinagar,Garkha,0.07,Darbhanga
1269,Bettiah,Sikta,RAUSHENDRA KUMAR,Bhartiya Lok Chetna Party,Amarpur,0,Amarpur,0.09,Darbhanga
1270,Sikta,Raxaul,Lal Babu Mahto,All India Forward Bloc,Marhaura,0,Marhaura,0.07,Darbhanga
1271,Raxaul,Sugauli,Vijayshree Prasad,Republican Party of India (Athawale),Dehri,0,Dehri,0.12,Darbhanga
1272,Sugauli,Narkatia,Sanjay Kumar Roy,Rashtriya Unnati Party,256,Valmikinagar,257,0.15,Darbhanga
1273,Narkatia,Harsidhi (S.C),Santosh Kumar Purve,Rashtriya Jan Vikas Party,Gobindpur,0,Gobindpur,0.14,Darbhanga
1274,Harsidhi (S.C),Govindganj,Siya Ram Paswan,Jan Adhikar Party (Loktantrik),1040,Lauriya,1045,0.61,Darbhanga
1275,Govindganj,Kesaria,Sujeet Kumar Chaudhary,Janata Party,2093,0,2093,1.23,Darbhanga
1276,Kesaria,Kalyanpur,Mahendra Lal Das,Independent,2152,0,2152,1.26,Darbhanga
1277,Kalyanpur,Pipra,Mithilesh Chandra Sahni,Independent,1348,0,1348,0.79,Darbhanga
1278,Pipra,Madhuban,Shankar Kumar Jha,Independent,2755,Ramnagar,2757,1.62,Darbhanga
1279,Madhuban,Motihari,Sanjay Kumar Jha,Independent,Barbigha,0,Barbigha,0.1,Darbhanga
1280,Motihari,Chiraiya,NOTA,None of the Above,667,Ramnagar,669,0.39,Darbhanga
1281,0,Valmikinagar,Bhola Yadav,Rashtriya Janata Dal,56508,270,56778,39.69,Hayaghat
1282,Valmikinagar,Ramnagar,Ram Chandra Prasad,Bharatiya Janata Party,66928,Kuchaikote,67030,46.86,Hayaghat
1283,Ramnagar,Narkatiaganj,Rushan Nayak,Bahujan Samaj Party,1093,0,1093,0.76,Hayaghat
1284,Narkatiaganj,Bagaha,Abdus Salam Khan,Jan Adhikar Party (Loktantrik),4888,Raxaul,4898,3.42,Hayaghat
1285,Bagaha,Lauriya,Om Prakash Mandal,Rashtriya Jan Vikas Party,708,0,708,0.49,Hayaghat
1286,Lauriya,Nautan,Ganesh Kumar Choudhary,Yuva Krantikari Party,341,0,341,0.24,Hayaghat
1287,Nautan,Chanpatia,Geeta Devi,Independent,1725,Bagaha,1729,1.21,Hayaghat
1288,Chanpatia,Bettiah,Janki Nandan Chaudhary,Independent,1122,Ramnagar,1124,0.79,Hayaghat
1289,Bettiah,Sikta,Paramajit Kumar,Independent,1241,0,1241,0.87,Hayaghat
1290,Sikta,Raxaul,Ravindra Nath Singh,Independent,4573,Ramnagar,4575,3.2,Hayaghat
1291,Raxaul,Sugauli,NOTA,None of the Above,3534,0,3534,2.47,Hayaghat
1292,0,Valmikinagar,Devendra Kumar Jha,Lok Jan Shakti Party,16839,Babubarhi,16873,9.48,Bahadurpur
1293,Valmikinagar,Ramnagar,Madan Sahni,Janata Dal (United),68432,Ziradei,68538,38.5,Bahadurpur
1294,Ramnagar,Narkatiaganj,Mohammad Salauddin,Bahujan Samaj Party,1567,Raxaul,1577,0.89,Bahadurpur
1295,Narkatiaganj,Bagaha,Ramesh Choudhary,Rashtriya Janata Dal,65617,292,65909,37.03,Bahadurpur
1296,Bagaha,Lauriya,Arun Thakur,"Log Jan Party - Secular,",1301,Valmikinagar,1302,0.73,Bahadurpur
1297,Lauriya,Nautan,Krishna Kumar Das,Rashtriya Jan Vikas Party,1106,0,1106,0.62,Bahadurpur
1298,Nautan,Chanpatia,Priyanka Singh,The Plurals Party,810,Valmikinagar,811,0.46,Bahadurpur
1299,Chanpatia,Bettiah,Birendra Kumar Paswan,Vanchit Bahujan Aaghadi,1040,Valmikinagar,1041,0.58,Bahadurpur
1300,Bettiah,Sikta,Manish Kumar,"Bhartiya Garibmazdoor Party,",511,Valmikinagar,512,0.29,Bahadurpur
1301,Sikta,Raxaul,Ram Prabhanjan Choudhary,Rashtriya Jan Jan Party,1696,Narkatiaganj,1699,0.95,Bahadurpur
1302,Raxaul,Sugauli,Rohit Kumar Paswan,Aazad Samaj Party (Kanshi Ram),1529,Ramnagar,1531,0.86,Bahadurpur
1303,Sugauli,Narkatia,Vikram Singh,Bhartiya Sablog Party,2443,0,2443,1.37,Bahadurpur
1304,Narkatia,Harsidhi (S.C),Baldeo Ram,Independent,3570,0,3570,2.01,Bahadurpur
1305,Harsidhi (S.C),Govindganj,Mahendra Sahani,Independent,2288,0,2288,1.29,Bahadurpur
1306,Govindganj,Kesaria,Binay Kumar Singh,Independent,4938,0,4938,2.77,Bahadurpur
1307,Kesaria,Kalyanpur,NOTA,None of the Above,3866,Chanpatia,3873,2.18,Bahadurpur
1308,0,Valmikinagar,ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,71053,Barhara,71246,43.61,Keoti
1309,Valmikinagar,Ramnagar,CHAND BABU REHMAN,Nationalist Congress Party,1161,0,1161,0.71,Keoti
1310,Ramnagar,Narkatiaganj,MURARI MOHAN JHA,Bharatiya Janata Party,76320,Bahadurganj,76372,46.75,Keoti
1311,Narkatiaganj,Bagaha,FAIYAZUR RAHMAN,Samajwadi Janata Dal Democratic,1528,0,1528,0.94,Keoti
1312,Bagaha,Lauriya,MADHU RANJAN PRASAD,Rashtriya Janshakti Party (Secular),894,Ramnagar,896,0.55,Keoti
1313,Lauriya,Nautan,MAHESH PURWE,Bharat Jan Jagran Dal,Beldaur,0,Beldaur,0.09,Keoti
1314,Nautan,Chanpatia,MADHAV KUMAR CHAUDHARY,The Plurals Party,257,0,257,0.16,Keoti
1315,Chanpatia,Bettiah,SHEKHAR KUMAR,Rashtriya Jan Vikas Party,Paliganj,0,Paliganj,0.12,Keoti
1316,Bettiah,Sikta,MD. SAMIULLAH KHAN,Jan Adhikar Party (Loktantrik),817,0,817,0.5,Keoti
1317,Sikta,Raxaul,DEEPAK KUMAR JHA,Independent,798,Ramnagar,800,0.49,Keoti
1318,Raxaul,Sugauli,PRIYANKA KUMARI,Independent,366,0,366,0.22,Keoti
1319,Sugauli,Narkatia,BHOLA SAHU,Independent,798,0,798,0.49,Keoti
1320,Narkatia,Harsidhi (S.C),MANIKANT MANI,Independent,1215,Ramnagar,1217,0.74,Keoti
1321,Harsidhi (S.C),Govindganj,YOGESH RANJAN,Independent,3303,Valmikinagar,3304,2.02,Keoti
1322,Govindganj,Kesaria,SANJEEV KUMAR HIMANSHU,Independent,1290,Valmikinagar,1291,0.79,Keoti
1323,Kesaria,Kalyanpur,NOTA,None of the Above,2967,Valmikinagar,2968,1.82,Keoti
1324,0,Valmikinagar,Jibesh Kumar,Bharatiya Janata Party,87321,Kochadhaman,87376,51.66,Jale
1325,Valmikinagar,Ramnagar,Najir Ahmad Ansari,Nationalist Congress Party,1800,Valmikinagar,1801,1.06,Jale
1326,Ramnagar,Narkatiaganj,Maskoor Ahmad Usmani,Indian National Congress,65395,Fatuha,65580,38.78,Jale
1327,Narkatiaganj,Bagaha,Aman Kumar Jha,Jan Adhikar Party (Loktantrik),1949,0,1949,1.15,Jale
1328,Bagaha,Lauriya,Priya Ranjan Thakur,Samata Party,460,0,460,0.27,Jale
1329,Lauriya,Nautan,Mohammad Mahbub Alam,SOCIAL DEMOCRATIC PARTY OF INDIA,638,Ramnagar,640,0.38,Jale
1330,Nautan,Chanpatia,Satish Kumar,Rashtriya Jan Vikas Party,306,0,306,0.18,Jale
1331,Chanpatia,Bettiah,Bimlesh Kumar Thakur,Independent,975,0,975,0.58,Jale
1332,Bettiah,Sikta,Mahesh Kumar Jha,Independent,1817,Ramnagar,1819,1.08,Jale
1333,Sikta,Raxaul,Mohammad Arshad Siddiqui,Independent,697,Valmikinagar,698,0.41,Jale
1334,Raxaul,Sugauli,Rangnath Thakur,Independent,3085,Valmikinagar,3086,1.82,Jale
1335,Sugauli,Narkatia,Saiyad Md. Mahtab Alam,Independent,857,Valmikinagar,858,0.51,Jale
1336,Narkatia,Harsidhi (S.C),NOTA,None of the Above,3573,0,3573,2.11,Jale
1337,0,Valmikinagar,KOMAL SINGH,Lok Jan Shakti Party,36749,Kuchaikote,36851,20.29,Gaighat
1338,Valmikinagar,Ramnagar,NIRANJAN ROY,Rashtriya Janata Dal,59473,305,59778,32.92,Gaighat
1339,Ramnagar,Narkatiaganj,MAHESHWAR PD YADAV,Janata Dal (United),52128,Hayaghat,52212,28.75,Gaighat
1340,Narkatiaganj,Bagaha,AYUSH SAHNI URF MUKESH SAHNI,Lok  Chetna  Dal,843,0,843,0.46,Gaighat
1341,Bagaha,Lauriya,ALOK KUMAR,Janhit Kisan Party,346,0,346,0.19,Gaighat
1342,Lauriya,Nautan,CHULIYA DEVI,Aapki Apni Adhikar Party,305,0,305,0.17,Gaighat
1343,Nautan,Chanpatia,PRAVHU SHANI,Bajjikanchal Vikas Party,267,0,267,0.15,Gaighat
1344,Chanpatia,Bettiah,BHARAT PASWAN,Bahujan Mukti Party,398,0,398,0.22,Gaighat
1345,Bettiah,Sikta,RANJAN KUMAR,Samata Party,521,0,521,0.29,Gaighat
1346,Sikta,Raxaul,RAJPAL DAS,Rashtriya Jan Vikas Party,979,0,979,0.54,Gaighat
1347,Raxaul,Sugauli,RIZWANUL HAQUE,Bhartiya Lokmat Rashtrwadi Party,380,0,380,0.21,Gaighat
1348,Sugauli,Narkatia,LALITA SINGH,Jan Adhikar Party (Loktantrik),861,0,861,0.47,Gaighat
1349,Narkatia,Harsidhi (S.C),VIKASH KUMAR,Rashtriya Jan Jan Party,1536,0,1536,0.85,Gaighat
1350,Harsidhi (S.C),Govindganj,VIPALAV KUMAR PASWAN,"Aam Janmat Party,",2466,0,2466,1.36,Gaighat
1351,Govindganj,Kesaria,SHUBHANKAR KUMAR SINGH,All India Forward Bloc,2015,0,2015,1.11,Gaighat
1352,Kesaria,Kalyanpur,SUDHIR KUMAR JHA,Janata Party,3019,0,3019,1.66,Gaighat
1353,Kalyanpur,Pipra,SUBODH KUMAR SINGH,The Plurals Party,2259,Valmikinagar,2260,1.24,Gaighat
1354,Pipra,Madhuban,KUMAR ALOK,Independent,1354,Valmikinagar,1355,0.75,Gaighat
1355,Madhuban,Motihari,GANESH JHA,Independent,3142,0,3142,1.73,Gaighat
1356,Motihari,Chiraiya,GHULAM AHMAD RAZA,Independent,554,0,554,0.31,Gaighat
1357,Chiraiya,Dhaka,THAKUR DHANANJAY SINGH,Independent,Hisua,0,Hisua,0.13,Gaighat
1358,Dhaka,Sheohar,DEEPAK RAY URF BIPAT RAY,Independent,Fatuha,0,Fatuha,0.1,Gaighat
1359,Sheohar,Riga,MD NAIJUL ANSARI,Independent,295,0,295,0.16,Gaighat
1360,Riga,Bathnaha,PRINCE KUMAR,Independent,305,0,305,0.17,Gaighat
1361,Bathnaha,Parihar,VIJAY RANJAN,Independent,474,Ramnagar,476,0.26,Gaighat
1362,Parihar,Sursand,VINAY KUMAR,Independent,680,0,680,0.37,Gaighat
1363,Sursand,Bajpatti,BINOD MAHASETH,Independent,272,0,272,0.15,Gaighat
1364,Bajpatti,Sitamarhi,VINDESHWAR MAHTO,Independent,1030,0,1030,0.57,Gaighat
1365,Sitamarhi,Runnisaidpur,SHIV SHANKAR KUMAR BHARTI,Independent,1098,0,1098,0.6,Gaighat
1366,Runnisaidpur,Belsand,SUBHASH CHAUDHARY,Independent,2605,Valmikinagar,2606,1.43,Gaighat
1367,Belsand,Harlakhi,SURESH SAHANI,Independent,2065,0,2065,1.14,Gaighat
1368,Harlakhi,Benipatti,NOTA,None of the Above,2275,Ramnagar,2277,1.25,Gaighat
1369,0,Valmikinagar,DINESH DAS,Bahujan Samaj Party,2191,0,2191,1.27,Aurai
1370,Valmikinagar,Ramnagar,RAM SURAT KUMAR,Bharatiya Janata Party,90367,Maharajganj,90479,52.33,Aurai
1371,Ramnagar,Narkatiaganj,ANISH KUMAR,Janata Dal  (Secular),1909,0,1909,1.1,Aurai
1372,Narkatiaganj,Bagaha,AMIT KUMAR,Hindu Samaj Party,666,Ramnagar,668,0.39,Aurai
1373,Bagaha,Lauriya,ASHOK KUMAR JHA,Garib Janshakti Party,2284,Ramnagar,2286,1.32,Aurai
1374,Lauriya,Nautan,MD. AFTAB ALAM,Communist Party of India  (Marxist-Leninist)  (Liberation),42359,254,42613,24.65,Aurai
1375,Nautan,Chanpatia,DINBANDHU KUMAR,Rashtriya Jan Jan Party,2709,Sikta,2718,1.57,Aurai
1376,Chanpatia,Bettiah,PRADEEP KUMAR SINGH,Shiv Sena,680,Valmikinagar,681,0.39,Aurai
1377,Bettiah,Sikta,RAM NARAYAN ROY,Bajjikanchal Vikas Party,794,Bagaha,798,0.46,Aurai
1378,Sikta,Raxaul,RITESH KUMAR ALIAS BINOD YADAV,The Plurals Party,1378,Ramnagar,1380,0.8,Aurai
1379,Raxaul,Sugauli,BIMAL DEVI,Bhartiya Chetna Party,3555,Ramnagar,3557,2.06,Aurai
1380,Sugauli,Narkatia,AKHILESH KUMAR,Independent,10116,Kalyanpur,10132,5.86,Aurai
1381,Narkatia,Harsidhi (S.C),NAGESHWAR PRASAD SINGH,Independent,1031,Valmikinagar,1032,0.6,Aurai
1382,Harsidhi (S.C),Govindganj,MOHAN KUMAR,Independent,1856,Narkatiaganj,1859,1.08,Aurai
1383,Govindganj,Kesaria,SURENDRA KUMAR,Independent,8333,Madhuban,8351,4.83,Aurai
1384,Kesaria,Kalyanpur,NOTA,None of the Above,2236,Valmikinagar,2237,1.29,Aurai
1385,0,Valmikinagar,AJAY KUMAR,Lok Jan Shakti Party,43337,Amarpur,43496,24.28,Minapur
1386,Valmikinagar,Ramnagar,PRABHU KUSHWAHA,Rashtriya Lok Samta Party,2054,Lauriya,2059,1.15,Minapur
1387,Ramnagar,Narkatiaganj,MANOJ KUMAR,Janata Dal (United),44412,Muzaffarpur,44506,24.85,Minapur
1388,Narkatiaganj,Bagaha,RAJEEV KUMAR,Rashtriya Janata Dal,59733,285,60018,33.51,Minapur
1389,Bagaha,Lauriya,AKHILESHWAR SINGH,Jai Maha Bharath Party,1987,Valmikinagar,1988,1.11,Minapur
1390,Lauriya,Nautan,UMESH THAKUR,Yuva Krantikari Party,1018,Valmikinagar,1019,0.57,Minapur
1391,Nautan,Chanpatia,TAMANNA HASHMI,Azad Samaj Party,614,0,614,0.34,Minapur
1392,Chanpatia,Bettiah,POONAM,Samata Party,393,Ramnagar,395,0.22,Minapur
1393,Bettiah,Sikta,BHARTI DEVI,Bhartiya Sanyukt Kisan Party,432,0,432,0.24,Minapur
1394,Sikta,Raxaul,VEENA YADAV,Jan Adhikar Party (Loktantrik),3707,Sugauli,3718,2.08,Minapur
1395,Raxaul,Sugauli,BIRENDRA KUMAR,Rashtriya Jansambhavna Party,714,0,714,0.4,Minapur
1396,Sugauli,Narkatia,BIRENDRA KUMAR YADAV,Lok  Chetna  Dal,954,0,954,0.53,Minapur
1397,Narkatia,Harsidhi (S.C),SANTOSH SHAHI,Bhartiya Panchyat Party,3047,0,3047,1.7,Minapur
1398,Harsidhi (S.C),Govindganj,KANCHAN SAHNI,Independent,2517,Bagaha,2521,1.41,Minapur
1399,Govindganj,Kesaria,MUKESH KUMAR RANJAN,Independent,2216,Narkatiaganj,2219,1.24,Minapur
1400,Kesaria,Kalyanpur,RAMESH KUMAR,Independent,4084,Ramnagar,4086,2.28,Minapur
1401,Kalyanpur,Pipra,LALITA KUMARI,Independent,2201,Narkatiaganj,2204,1.23,Minapur
1402,Pipra,Madhuban,BINAY KUMAR SINGH,Independent,854,Valmikinagar,855,0.48,Minapur
1403,Madhuban,Motihari,SANTOSH KUMAR,Independent,1736,0,1736,0.97,Minapur
1404,Motihari,Chiraiya,SANTOSH KUMAR,Independent,1329,Valmikinagar,1330,0.74,Minapur
1405,Chiraiya,Dhaka,NOTA,None of the Above,1209,Bagaha,1213,0.68,Minapur
1406,0,Valmikinagar,AMAR AZAD,Lok Jan Shakti Party,8204,Sitamarhi,8232,4.51,Bochaha
1407,Valmikinagar,Ramnagar,PRITI BHARTI,Nationalist Congress Party,1078,Nautan,1084,0.59,Bochaha
1408,Ramnagar,Narkatiaganj,RAMAI RAM,Rashtriya Janata Dal,65942,627,66569,36.45,Bochaha
1409,Narkatiaganj,Bagaha,LAL BABU PASWAN,Bahujan Samaj Party,1803,Nautan,1809,0.99,Bochaha
1410,Bagaha,Lauriya,ABHIMANYU KUMAR,The Plurals Party,1597,Chanpatia,1604,0.88,Bochaha
1411,Lauriya,Nautan,CHANDAN KUMAR PASWAN,Jan Adhikar Party (Loktantrik),1455,Lauriya,1460,0.8,Bochaha
1412,Nautan,Chanpatia,MUSAFIR PASWAN,Vikassheel Insaan Party,77557,280,77837,42.62,Bochaha
1413,Chanpatia,Bettiah,RAJGEER PASWAN,Bajjikanchal Vikas Party,2142,Valmikinagar,2143,1.17,Bochaha
1414,Bettiah,Sikta,RAJESH KUMAR,Bahujan Mukti Party,3766,Nautan,3772,2.07,Bochaha
1415,Sikta,Raxaul,SANJU DEVI,Rashtriya Jan Jan Party,2637,Bagaha,2641,1.45,Bochaha
1416,Raxaul,Sugauli,Uday Chaudhary,Independent,2940,Bettiah,2948,1.61,Bochaha
1417,Sugauli,Narkatia,JAI CHANDRA RAM,Independent,2351,Ramnagar,2353,1.29,Bochaha
1418,Narkatia,Harsidhi (S.C),DEEP LAL RAM,Independent,3258,Ramnagar,3260,1.79,Bochaha
1419,Harsidhi (S.C),Govindganj,Rudal Ram,Independent,3386,Narkatia,3398,1.86,Bochaha
1420,Govindganj,Kesaria,NOTA,None of the Above,3508,Kesaria,3523,1.93,Bochaha
1421,0,Valmikinagar,Dr. Abhay Kumar,Nationalist Congress Party,1828,Chanpatia,1835,1.1,Sakra
1422,Valmikinagar,Ramnagar,Ashok Kumar Chodhary,Janata Dal (United),67072,Barhara,67265,40.25,Sakra
1423,Ramnagar,Narkatiaganj,Umesh Kumar Ram,Indian National Congress,65330,398,65728,39.33,Sakra
1424,Narkatiaganj,Bagaha,Geeta Kumari,Bahujan Samaj Party,1917,Narkatiaganj,1920,1.15,Sakra
1425,Bagaha,Lauriya,Sanjay Paswan,Lok Jan Shakti Party,13487,Nirmali,13528,8.09,Sakra
1426,Lauriya,Nautan,Randhir Kumar Ram,Bajjikanchal Vikas Party,1066,Valmikinagar,1067,0.64,Sakra
1427,Nautan,Chanpatia,Raj kumar Choudhary,Bhartiya Party (Loktantrik),2274,Narkatiaganj,2277,1.36,Sakra
1428,Chanpatia,Bettiah,Shashi Prabha Kumari,Janshakti Vikas Party (Democratic),1194,Ramnagar,1196,0.72,Sakra
1429,Bettiah,Sikta,Suresh Kumar,Jan Adhikar Party (Loktantrik),1932,Bagaha,1936,1.16,Sakra
1430,Sikta,Raxaul,Shiv Lal Paswan,Independent,2689,Valmikinagar,2690,1.61,Sakra
1431,Raxaul,Sugauli,Suresh Mhato,Independent,3287,Valmikinagar,3288,1.97,Sakra
1432,Sugauli,Narkatia,NOTA,None of the Above,4389,Narkatiaganj,4392,2.63,Sakra
1433,0,Valmikinagar,Anil Kumar Sahni,Rashtriya Janata Dal,78065,484,78549,40.23,Kurhani
1434,Valmikinagar,Ramnagar,Kedar Prasad Gupta,Bharatiya Janata Party,77585,252,77837,39.86,Kurhani
1435,Ramnagar,Narkatiaganj,Ram Babu Singh,Rashtriya Lok Samta Party,10007,Babubarhi,10041,5.14,Kurhani
1436,Narkatiaganj,Bagaha,Alok Kumar Sinh,Janta Dal Rashtravadi,783,Valmikinagar,784,0.4,Kurhani
1437,Bagaha,Lauriya,Kali Kant Jha,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),766,Valmikinagar,767,0.39,Kurhani
1438,Lauriya,Nautan,Jitesh Kumar,Rashtriya Jan Jan Party,508,Lauriya,513,0.26,Kurhani
