,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
3,4,Amar kant Vats urf Sohan Jha,Jantantrik Vikas Party,902,5,907,0.4,75
4,5,Kamal Deo Sharma,"Log Jan Party - Secular,",734,4,738,0.32,75
5,6,Krishna Shekhar,Samajwadi Janata Dal Democratic,611,2,613,0.27,75
6,7,Ranjan Priyadarshi,Jan Adhikar Party (Loktantrik),1495,10,1505,0.66,75
7,8,Rajesh Kumar Jha,The Plurals Party,842,3,845,0.37,75
8,9,Vimlesh Kumar Singh,Nationalist Janshakti Party,530,0,530,0.23,75
9,10,Amit Kumar,Independent,651,7,658,0.29,75
10,11,Kishor Kumar,Independent,12525,67,12592,5.54,75
11,12,Ranjit Kumar Rana,Independent,9938,56,9994,4.4,75
12,13,Birendra Kumar,Independent,1544,1,1545,0.68,75
13,14,Siyaram Paswan,Independent,3272,4,3276,1.44,75
14,15,NOTA,None of the Above,5304,3,5307,2.34,75
0,1,YUSUF SALAHUDDIN,Rashtriya Janata Dal,75201,483,75684,38.48,76
1,2,VINAY KUMAR MISHRA,Nationalist Congress Party,948,1,949,0.48,76
2,3,SANJAY KUMAR SINGH,Lok Jan Shakti Party,6940,22,6962,3.54,76
3,4,SONA KUMAR,Bahujan Samaj Party,781,0,781,0.4,76
4,5,UPENDRA SAHANI,Rashtriya Jansambhavna Party,911,1,912,0.46,76
5,6,UMESH CHANDRA BHARTI,Aadarsh Mithila Party,5295,1,5296,2.69,76
6,7,ZAFAR ALAM,Jan Adhikar Party (Loktantrik),3986,26,4012,2.04,76
7,8,DHIRENDRA CHOUDHARY,Aam Adhikar Morcha,2259,1,2260,1.15,76
8,9,PARAS PASWAN,Bahujan Mukti Party,1543,2,1545,0.79,76
9,10,PINTU SHARMA,"Log Jan Party - Secular,",2134,3,2137,1.09,76
10,11,MUKESH SAHANI,Vikassheel Insaan Party,73731,194,73925,37.58,76
11,12,RAJESH KUMAR,Lokpriya Samaj Party,2158,1,2159,1.1,76
12,13,SUNDARAM,Republican Party of India (Athawale),1704,0,1704,0.87,76
13,14,HASHIM,Samta Dal (Pragatisheel),1243,1,1244,0.63,76
14,15,UPENDRA YADAV,Independent,1669,0,1669,0.85,76
15,16,KHAGESH KUMAR SAH,Independent,4748,4,4752,2.42,76
16,17,DOMI SHARMA,Independent,2635,0,2635,1.34,76
17,18,TARUN KUMAR JHA,Independent,546,0,546,0.28,76
18,19,YOGAVIR ROY,Independent,440,1,441,0.22,76
19,20,RITESH RANJAN,Independent,2830,10,2840,1.44,76
20,21,BANDAN KUMAR SINGH,Independent,479,0,479,0.24,76
21,22,SULENDRA DAS,Independent,2361,0,2361,1.2,76
22,23,NOTA,None of the Above,1406,1,1407,0.72,76
0,1,ABDUR RAZZAQUE,Lok Jan Shakti Party,22016,94,22110,12.61,77
1,2,GUNJESHWAR SAH,Janata Dal (United),66125,191,66316,37.83,77
2,3,GAUTAM KRISHNA,Rashtriya Janata Dal,64153,533,64686,36.9,77
3,4,SHIVENDRA KUMAR,Rashtriya Lok Samta Party,3718,13,3731,2.13,77
4,5,"SUNIT KUMAR SINGH ""CHAUHAN""",Nationalist Congress Party,403,0,403,0.23,77
5,6,GUDDU KUMAR,Rashtra Sewa Dal,348,0,348,0.2,77
6,7,TRIPURARI PRASAD SINGH,The Plurals Party,502,1,503,0.29,77
7,8,Nehal Akhtar,Mazdoor Ekta Party,628,1,629,0.36,77
8,9,MUNNA MANDAL,Rashtriya Samaj Paksha,413,0,413,0.24,77
9,10,MOHAMMAD ARSHAD HUSSAIN,Bahujan Maha Party,1233,0,1233,0.7,77
10,11,RAJIV KUMAR YADAV,Bhartiya Sablog Party,856,0,856,0.49,77
11,12,RAJIV DAS,Bhartiya Mahasangh Party,778,2,780,0.44,77
12,13,MAHARUDRA JHA,Independent,1210,0,1210,0.69,77
13,14,YOGENDAR MUKHIYA,Independent,4742,1,4743,2.71,77
14,15,RAMA SHANKAR SINGH,Independent,4337,1,4338,2.47,77
15,16,NOTA,None of the Above,3005,3,3008,1.72,77
0,1,Dr. ASHOK KUMAR,Indian National Congress,46576,182,46758,34.26,78
1,2,POONAM KUMARI,Lok Jan Shakti Party,13343,19,13362,9.79,78
2,3,LAXMI PASWAN,Rashtriya Lok Samta Party,2060,0,2060,1.51,78
3,4,SHASHIBHUSHAN HAJARI,Janata Dal (United),53952,28,53980,39.55,78
4,5,ABDHESH PASWAN,Satya Bahumat Party,877,0,877,0.64,78
5,6,ANAND KUMAR,Rashtriya Jan Kalyan Party Secular,738,0,738,0.54,78
6,7,CHAND DEVI,Wazib Adhikar Party,589,1,590,0.43,78
7,8,JAY JAY RAM,Aam Janta Party Rashtriya,471,0,471,0.35,78
8,9,DROPADI DEVI,Mazdoor Ekta Party,684,0,684,0.5,78
9,10,MURARI PASWAN,Jan Adhikar Party (Loktantrik),1804,1,1805,1.32,78
10,11,RENU RAJ,Rashtriya Janvikas Party (Democratic),1152,0,1152,0.84,78
11,12,LAL MOHAR SADA,"Log Jan Party - Secular,",2116,1,2117,1.55,78
12,13,KAMESHWAR RAM,Independent,3864,0,3864,2.83,78
13,14,GANESH KUMAR,Independent,1392,0,1392,1.02,78
14,15,YOGI CHAUPAL,Independent,3487,2,3489,2.56,78
15,16,NOTA,None of the Above,3142,0,3142,2.3,78
0,1,AFZAL ALI KHAN,Rashtriya Janata Dal,51970,288,52258,36.21,79
1,2,TAMANNA KHAN,Nationalist Congress Party,1018,1,1019,0.71,79
2,3,RAJEEV KUMAR THAKUR,Lok Jan Shakti Party,9111,12,9123,6.32,79
3,4,KAMLESH RAY,The Plurals Party,635,0,635,0.44,79
4,5,KUNDAN PRASAD SHAH,"Aam Janmat Party,",748,0,748,0.52,79
5,6,KHAWAJA MOHAMMAD FAKHRUDDIN,Bhartiya Rashtriya Dal,449,0,449,0.31,79
6,7,BAIJU SAHU,Wazib Adhikar Party,415,0,415,0.29,79
7,8,RANJIT SAHNI,Bahujan Mukti Party,352,1,353,0.24,79
8,9,RAMESH KUMAR PANDIT,Janata Dal  (Secular),354,0,354,0.25,79
9,10,VISHWAMBHAR YADAV,Jan Adhikar Party (Loktantrik),597,0,597,0.41,79
10,11,SHUBH KANT SADA,Rashtriya Jan Kalyan Party Secular,627,0,627,0.43,79
11,12,SATYA NARAYAN PASWAN,Mazdoor Ekta Party,623,0,623,0.43,79
12,13,SAROJ KUMAR CHAUDHARY,Mithilanchal Mukti Morcha,1685,0,1685,1.17,79
13,14,SWARNA SINGH,Vikassheel Insaan Party,59489,49,59538,41.26,79
14,15,AJAY YADAV,Independent,1175,0,1175,0.81,79
15,16,DR IZHAR AHMAD,Independent,5474,11,5485,3.8,79
16,17,MD ISARAFIL,Independent,1944,0,1944,1.35,79
17,18,GAURAV KUMAR SINGH,Independent,377,1,378,0.26,79
18,19,CHANDAN KUMAR MISHRA,Independent,1209,0,1209,0.84,79
19,20,RAJNI MAHATO,Independent,3407,0,3407,2.36,79
20,21,RANDHEER KUMAR,Independent,279,0,279,0.19,79
21,22,RAHUL KUMAR JHA,Independent,527,0,527,0.37,79
22,23,SHYAM SADA,Independent,445,0,445,0.31,79
23,24,SANJAY KUMAR YADAV,Independent,257,0,257,0.18,79
24,25,NOTA,None of the Above,770,0,770,0.53,79
0,1,Kamal Ram Vinod Jha,Lok Jan Shakti Party,17585,31,17616,10.78,80
1,2,Mithilesh Kumar Choudhary,Indian National Congress,54529,297,54826,33.55,80
2,3,Rajeev Kumar,Rashtriya Lok Samta Party,4630,11,4641,2.84,80
3,4,Binay Kumar Choudhary,Janata Dal (United),61322,94,61416,37.58,80
4,5,Nathuni Ram,Wazib Adhikar Party,1927,2,1929,1.18,80
5,6,Rajesh Kumar Mishra,Jan Adhikar Party (Loktantrik),1576,0,1576,0.96,80
6,7,Sanjeev Jha,Shiv Sena,757,0,757,0.46,80
7,8,Md. Quamrul Hoda,Independent,538,0,538,0.33,80
8,9,Manoj Kumar,Independent,888,1,889,0.54,80
9,10,Mithlesh Yadav,Independent,607,1,608,0.37,80
10,11,Ranjeet Kumar Jha,Independent,966,1,967,0.59,80
11,12,Ram Kumar Jha,Independent,6215,6,6221,3.81,80
12,13,Sanjeet Kumar,Independent,3741,0,3741,2.29,80
13,14,Saguni Ray,Independent,3082,0,3082,1.89,80
14,15,NOTA,None of the Above,4620,1,4621,2.83,80
0,1,Raj Kumar Jha,Lok Jan Shakti Party,8840,10,8850,5.6,81
1,2,Binod Mishra,Rashtriya Janata Dal,57654,327,57981,36.66,81
2,3,Md Nasar Nabab,Samajwadi Janata Dal Democratic,1573,3,1576,1,81
3,4,Farhan Alam,Loktantrik Janshakti Party,1274,1,1275,0.81,81
4,5,Mishri Lal Yadav,Vikassheel Insaan Party,61024,58,61082,38.62,81
5,6,Mohammad Jamir,Wazib Adhikar Party,1704,1,1705,1.08,81
6,7,Vinod Yadav,Rashtravadi Janata Party,916,12,928,0.59,81
7,8,Sanjay Kumar Singh,Jan Adhikar Party (Loktantrik),9718,19,9737,6.16,81
8,9,Md Naseem Azam Siddiqui,Independent,2413,0,2413,1.53,81
9,10,Fakira Paswan,Independent,4468,0,4468,2.83,81
10,11,Rajipal Jha,Independent,1087,0,1087,0.69,81
11,12,Shambhu Mishra,Independent,2176,2,2178,1.38,81
12,13,Sulekha Devi,Independent,1936,2,1938,1.23,81
13,14,NOTA,None of the Above,2940,1,2941,1.86,81
0,1,PRADEEP KUMAR THAKUR,Lok Jan Shakti Party,17586,19,17605,11.19,82
1,2,FARAZ FATMI,Janata Dal (United),62675,113,62788,39.9,82
2,3,Lalit Kumar Yadav,Rashtriya Janata Dal,64694,235,64929,41.26,82
3,4,SUNIL KUMAR MANDAL,Bahujan Samaj Party,1659,0,1659,1.05,82
4,5,RAKESH KUMAR MANDAL,Rashtriya Jansambhavna Party,1309,1,1310,0.83,82
5,6,AZIZUR RAHAMAN,Independent,2088,0,2088,1.33,82
6,7,DEO NARAYAN GUPTA,Independent,3032,0,3032,1.93,82
7,8,NOTA,None of the Above,3937,0,3937,2.5,82
0,1,Amar Nath Gami,Rashtriya Janata Dal,73135,370,73505,43.08,83
1,2,Sanjay Saraogi,Bharatiya Janata Party,84005,139,84144,49.32,83
2,3,MD. Amjad Khan,Samajwadi Janata Dal Democratic,709,1,710,0.42,83
3,4,Nooruddin Zangi,SOCIAL DEMOCRATIC PARTY OF INDIA,519,4,523,0.31,83
4,5,Md. Pintu Khan,Loktantrik Janshakti Party,134,1,135,0.08,83
5,6,Mahendra Kumar Paswan,"Bhartiya Garibmazdoor Party,",96,0,96,0.06,83
6,7,Mohammad Mojahid,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),157,0,157,0.09,83
7,8,RAJ KUMAR MAHTO,Yuva Krantikari Party,118,1,119,0.07,83
8,9,RAUSHENDRA KUMAR,Bhartiya Lok Chetna Party,159,0,159,0.09,83
9,10,Lal Babu Mahto,All India Forward Bloc,117,0,117,0.07,83
10,11,Vijayshree Prasad,Republican Party of India (Athawale),212,0,212,0.12,83
11,12,Sanjay Kumar Roy,Rashtriya Unnati Party,256,1,257,0.15,83
12,13,Santosh Kumar Purve,Rashtriya Jan Vikas Party,238,0,238,0.14,83
13,14,Siya Ram Paswan,Jan Adhikar Party (Loktantrik),1040,5,1045,0.61,83
14,15,Sujeet Kumar Chaudhary,Janata Party,2093,0,2093,1.23,83
15,16,Mahendra Lal Das,Independent,2152,0,2152,1.26,83
16,17,Mithilesh Chandra Sahni,Independent,1348,0,1348,0.79,83
17,18,Shankar Kumar Jha,Independent,2755,2,2757,1.62,83
18,19,Sanjay Kumar Jha,Independent,170,0,170,0.1,83
19,20,NOTA,None of the Above,667,2,669,0.39,83
0,1,Bhola Yadav,Rashtriya Janata Dal,56508,270,56778,39.69,84
1,2,Ram Chandra Prasad,Bharatiya Janata Party,66928,102,67030,46.86,84
2,3,Rushan Nayak,Bahujan Samaj Party,1093,0,1093,0.76,84
3,4,Abdus Salam Khan,Jan Adhikar Party (Loktantrik),4888,10,4898,3.42,84
4,5,Om Prakash Mandal,Rashtriya Jan Vikas Party,708,0,708,0.49,84
5,6,Ganesh Kumar Choudhary,Yuva Krantikari Party,341,0,341,0.24,84
6,7,Geeta Devi,Independent,1725,4,1729,1.21,84
7,8,Janki Nandan Chaudhary,Independent,1122,2,1124,0.79,84
8,9,Paramajit Kumar,Independent,1241,0,1241,0.87,84
9,10,Ravindra Nath Singh,Independent,4573,2,4575,3.2,84
10,11,NOTA,None of the Above,3534,0,3534,2.47,84
0,1,Devendra Kumar Jha,Lok Jan Shakti Party,16839,34,16873,9.48,85
1,2,Madan Sahni,Janata Dal (United),68432,106,68538,38.5,85
2,3,Mohammad Salauddin,Bahujan Samaj Party,1567,10,1577,0.89,85
3,4,Ramesh Choudhary,Rashtriya Janata Dal,65617,292,65909,37.03,85
4,5,Arun Thakur,"Log Jan Party - Secular,",1301,1,1302,0.73,85
5,6,Krishna Kumar Das,Rashtriya Jan Vikas Party,1106,0,1106,0.62,85
6,7,Priyanka Singh,The Plurals Party,810,1,811,0.46,85
7,8,Birendra Kumar Paswan,Vanchit Bahujan Aaghadi,1040,1,1041,0.58,85
8,9,Manish Kumar,"Bhartiya Garibmazdoor Party,",511,1,512,0.29,85
9,10,Ram Prabhanjan Choudhary,Rashtriya Jan Jan Party,1696,3,1699,0.95,85
10,11,Rohit Kumar Paswan,Aazad Samaj Party (Kanshi Ram),1529,2,1531,0.86,85
11,12,Vikram Singh,Bhartiya Sablog Party,2443,0,2443,1.37,85
12,13,Baldeo Ram,Independent,3570,0,3570,2.01,85
13,14,Mahendra Sahani,Independent,2288,0,2288,1.29,85
14,15,Binay Kumar Singh,Independent,4938,0,4938,2.77,85
15,16,NOTA,None of the Above,3866,7,3873,2.18,85
0,1,ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,71053,193,71246,43.61,86
1,2,CHAND BABU REHMAN,Nationalist Congress Party,1161,0,1161,0.71,86
2,3,MURARI MOHAN JHA,Bharatiya Janata Party,76320,52,76372,46.75,86
3,4,FAIYAZUR RAHMAN,Samajwadi Janata Dal Democratic,1528,0,1528,0.94,86
4,5,MADHU RANJAN PRASAD,Rashtriya Janshakti Party (Secular),894,2,896,0.55,86
5,6,MAHESH PURWE,Bharat Jan Jagran Dal,150,0,150,0.09,86
6,7,MADHAV KUMAR CHAUDHARY,The Plurals Party,257,0,257,0.16,86
7,8,SHEKHAR KUMAR,Rashtriya Jan Vikas Party,190,0,190,0.12,86
8,9,MD. SAMIULLAH KHAN,Jan Adhikar Party (Loktantrik),817,0,817,0.5,86
9,10,DEEPAK KUMAR JHA,Independent,798,2,800,0.49,86
10,11,PRIYANKA KUMARI,Independent,366,0,366,0.22,86
11,12,BHOLA SAHU,Independent,798,0,798,0.49,86
12,13,MANIKANT MANI,Independent,1215,2,1217,0.74,86
13,14,YOGESH RANJAN,Independent,3303,1,3304,2.02,86
14,15,SANJEEV KUMAR HIMANSHU,Independent,1290,1,1291,0.79,86
15,16,NOTA,None of the Above,2967,1,2968,1.82,86
0,1,Jibesh Kumar,Bharatiya Janata Party,87321,55,87376,51.66,87
1,2,Najir Ahmad Ansari,Nationalist Congress Party,1800,1,1801,1.06,87
2,3,Maskoor Ahmad Usmani,Indian National Congress,65395,185,65580,38.78,87
3,4,Aman Kumar Jha,Jan Adhikar Party (Loktantrik),1949,0,1949,1.15,87
4,5,Priya Ranjan Thakur,Samata Party,460,0,460,0.27,87
5,6,Mohammad Mahbub Alam,SOCIAL DEMOCRATIC PARTY OF INDIA,638,2,640,0.38,87
6,7,Satish Kumar,Rashtriya Jan Vikas Party,306,0,306,0.18,87
7,8,Bimlesh Kumar Thakur,Independent,975,0,975,0.58,87
8,9,Mahesh Kumar Jha,Independent,1817,2,1819,1.08,87
9,10,Mohammad Arshad Siddiqui,Independent,697,1,698,0.41,87
10,11,Rangnath Thakur,Independent,3085,1,3086,1.82,87
11,12,Saiyad Md. Mahtab Alam,Independent,857,1,858,0.51,87
12,13,NOTA,None of the Above,3573,0,3573,2.11,87
0,1,KOMAL SINGH,Lok Jan Shakti Party,36749,102,36851,20.29,88
1,2,NIRANJAN ROY,Rashtriya Janata Dal,59473,305,59778,32.92,88
2,3,MAHESHWAR PD YADAV,Janata Dal (United),52128,84,52212,28.75,88
3,4,AYUSH SAHNI URF MUKESH SAHNI,Lok  Chetna  Dal,843,0,843,0.46,88
4,5,ALOK KUMAR,Janhit Kisan Party,346,0,346,0.19,88
5,6,CHULIYA DEVI,Aapki Apni Adhikar Party,305,0,305,0.17,88
6,7,PRAVHU SHANI,Bajjikanchal Vikas Party,267,0,267,0.15,88
7,8,BHARAT PASWAN,Bahujan Mukti Party,398,0,398,0.22,88
8,9,RANJAN KUMAR,Samata Party,521,0,521,0.29,88
9,10,RAJPAL DAS,Rashtriya Jan Vikas Party,979,0,979,0.54,88
10,11,RIZWANUL HAQUE,Bhartiya Lokmat Rashtrwadi Party,380,0,380,0.21,88
11,12,LALITA SINGH,Jan Adhikar Party (Loktantrik),861,0,861,0.47,88
12,13,VIKASH KUMAR,Rashtriya Jan Jan Party,1536,0,1536,0.85,88
13,14,VIPALAV KUMAR PASWAN,"Aam Janmat Party,",2466,0,2466,1.36,88
14,15,SHUBHANKAR KUMAR SINGH,All India Forward Bloc,2015,0,2015,1.11,88
15,16,SUDHIR KUMAR JHA,Janata Party,3019,0,3019,1.66,88
16,17,SUBODH KUMAR SINGH,The Plurals Party,2259,1,2260,1.24,88
17,18,KUMAR ALOK,Independent,1354,1,1355,0.75,88
18,19,GANESH JHA,Independent,3142,0,3142,1.73,88
19,20,GHULAM AHMAD RAZA,Independent,554,0,554,0.31,88
20,21,THAKUR DHANANJAY SINGH,Independent,236,0,236,0.13,88
21,22,DEEPAK RAY URF BIPAT RAY,Independent,185,0,185,0.1,88
22,23,MD NAIJUL ANSARI,Independent,295,0,295,0.16,88
23,24,PRINCE KUMAR,Independent,305,0,305,0.17,88
24,25,VIJAY RANJAN,Independent,474,2,476,0.26,88
25,26,VINAY KUMAR,Independent,680,0,680,0.37,88
26,27,BINOD MAHASETH,Independent,272,0,272,0.15,88
27,28,VINDESHWAR MAHTO,Independent,1030,0,1030,0.57,88
28,29,SHIV SHANKAR KUMAR BHARTI,Independent,1098,0,1098,0.6,88
29,30,SUBHASH CHAUDHARY,Independent,2605,1,2606,1.43,88
30,31,SURESH SAHANI,Independent,2065,0,2065,1.14,88
31,32,NOTA,None of the Above,2275,2,2277,1.25,88
0,1,DINESH DAS,Bahujan Samaj Party,2191,0,2191,1.27,89
1,2,RAM SURAT KUMAR,Bharatiya Janata Party,90367,112,90479,52.33,89
2,3,ANISH KUMAR,Janata Dal  (Secular),1909,0,1909,1.1,89
3,4,AMIT KUMAR,Hindu Samaj Party,666,2,668,0.39,89
4,5,ASHOK KUMAR JHA,Garib Janshakti Party,2284,2,2286,1.32,89
5,6,MD. AFTAB ALAM,Communist Party of India  (Marxist-Leninist)  (Liberation),42359,254,42613,24.65,89
6,7,DINBANDHU KUMAR,Rashtriya Jan Jan Party,2709,9,2718,1.57,89
7,8,PRADEEP KUMAR SINGH,Shiv Sena,680,1,681,0.39,89
8,9,RAM NARAYAN ROY,Bajjikanchal Vikas Party,794,4,798,0.46,89
9,10,RITESH KUMAR ALIAS BINOD YADAV,The Plurals Party,1378,2,1380,0.8,89
10,11,BIMAL DEVI,Bhartiya Chetna Party,3555,2,3557,2.06,89
11,12,AKHILESH KUMAR,Independent,10116,16,10132,5.86,89
12,13,NAGESHWAR PRASAD SINGH,Independent,1031,1,1032,0.6,89
13,14,MOHAN KUMAR,Independent,1856,3,1859,1.08,89
14,15,SURENDRA KUMAR,Independent,8333,18,8351,4.83,89
15,16,NOTA,None of the Above,2236,1,2237,1.29,89
0,1,AJAY KUMAR,Lok Jan Shakti Party,43337,159,43496,24.28,90
1,2,PRABHU KUSHWAHA,Rashtriya Lok Samta Party,2054,5,2059,1.15,90
2,3,MANOJ KUMAR,Janata Dal (United),44412,94,44506,24.85,90
3,4,RAJEEV KUMAR,Rashtriya Janata Dal,59733,285,60018,33.51,90
4,5,AKHILESHWAR SINGH,Jai Maha Bharath Party,1987,1,1988,1.11,90
5,6,UMESH THAKUR,Yuva Krantikari Party,1018,1,1019,0.57,90
6,7,TAMANNA HASHMI,Azad Samaj Party,614,0,614,0.34,90
7,8,POONAM,Samata Party,393,2,395,0.22,90
8,9,BHARTI DEVI,Bhartiya Sanyukt Kisan Party,432,0,432,0.24,90
9,10,VEENA YADAV,Jan Adhikar Party (Loktantrik),3707,11,3718,2.08,90
10,11,BIRENDRA KUMAR,Rashtriya Jansambhavna Party,714,0,714,0.4,90
11,12,BIRENDRA KUMAR YADAV,Lok  Chetna  Dal,954,0,954,0.53,90
12,13,SANTOSH SHAHI,Bhartiya Panchyat Party,3047,0,3047,1.7,90
13,14,KANCHAN SAHNI,Independent,2517,4,2521,1.41,90
14,15,MUKESH KUMAR RANJAN,Independent,2216,3,2219,1.24,90
15,16,RAMESH KUMAR,Independent,4084,2,4086,2.28,90
16,17,LALITA KUMARI,Independent,2201,3,2204,1.23,90
17,18,BINAY KUMAR SINGH,Independent,854,1,855,0.48,90
18,19,SANTOSH KUMAR,Independent,1736,0,1736,0.97,90
19,20,SANTOSH KUMAR,Independent,1329,1,1330,0.74,90
20,21,NOTA,None of the Above,1209,4,1213,0.68,90
0,1,AMAR AZAD,Lok Jan Shakti Party,8204,28,8232,4.51,91
1,2,PRITI BHARTI,Nationalist Congress Party,1078,6,1084,0.59,91
2,3,RAMAI RAM,Rashtriya Janata Dal,65942,627,66569,36.45,91
3,4,LAL BABU PASWAN,Bahujan Samaj Party,1803,6,1809,0.99,91
4,5,ABHIMANYU KUMAR,The Plurals Party,1597,7,1604,0.88,91
5,6,CHANDAN KUMAR PASWAN,Jan Adhikar Party (Loktantrik),1455,5,1460,0.8,91
6,7,MUSAFIR PASWAN,Vikassheel Insaan Party,77557,280,77837,42.62,91
7,8,RAJGEER PASWAN,Bajjikanchal Vikas Party,2142,1,2143,1.17,91
8,9,RAJESH KUMAR,Bahujan Mukti Party,3766,6,3772,2.07,91
9,10,SANJU DEVI,Rashtriya Jan Jan Party,2637,4,2641,1.45,91
10,11,Uday Chaudhary,Independent,2940,8,2948,1.61,91
11,12,JAI CHANDRA RAM,Independent,2351,2,2353,1.29,91
12,13,DEEP LAL RAM,Independent,3258,2,3260,1.79,91
13,14,Rudal Ram,Independent,3386,12,3398,1.86,91
14,15,NOTA,None of the Above,3508,15,3523,1.93,91
0,1,Dr. Abhay Kumar,Nationalist Congress Party,1828,7,1835,1.1,92
1,2,Ashok Kumar Chodhary,Janata Dal (United),67072,193,67265,40.25,92
2,3,Umesh Kumar Ram,Indian National Congress,65330,398,65728,39.33,92
3,4,Geeta Kumari,Bahujan Samaj Party,1917,3,1920,1.15,92
4,5,Sanjay Paswan,Lok Jan Shakti Party,13487,41,13528,8.09,92
5,6,Randhir Kumar Ram,Bajjikanchal Vikas Party,1066,1,1067,0.64,92
6,7,Raj kumar Choudhary,Bhartiya Party (Loktantrik),2274,3,2277,1.36,92
7,8,Shashi Prabha Kumari,Janshakti Vikas Party (Democratic),1194,2,1196,0.72,92
8,9,Suresh Kumar,Jan Adhikar Party (Loktantrik),1932,4,1936,1.16,92
9,10,Shiv Lal Paswan,Independent,2689,1,2690,1.61,92
10,11,Suresh Mhato,Independent,3287,1,3288,1.97,92
11,12,NOTA,None of the Above,4389,3,4392,2.63,92
0,1,Anil Kumar Sahni,Rashtriya Janata Dal,78065,484,78549,40.23,93
1,2,Kedar Prasad Gupta,Bharatiya Janata Party,77585,252,77837,39.86,93
2,3,Ram Babu Singh,Rashtriya Lok Samta Party,10007,34,10041,5.14,93
3,4,Alok Kumar Sinh,Janta Dal Rashtravadi,783,1,784,0.4,93
4,5,Kali Kant Jha,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),766,1,767,0.39,93
5,6,Jitesh Kumar,Rashtriya Jan Jan Party,508,5,513,0.26,93
6,7,Balram Kumar,Jawan Kisan Morcha,266,3,269,0.14,93
7,8,Manish Kumar,Apna Kisan Party,336,0,336,0.17,93
8,9,Mukesh Kumar Sharma,Jan Adhikar Party (Loktantrik),2777,8,2785,1.43,93
9,10,Rupchandra Kumar,Bhartiya Party (Loktantrik),335,1,336,0.17,93
10,11,Renu Devi,Prabal Bharat Party,498,3,501,0.26,93
11,12,Laxmi Devi,Rashtriya Jansambhavna Party,685,4,689,0.35,93
12,13,Virendra Kumar,Loktantrik Janta Dal,638,0,638,0.33,93
13,14,Salvi Saloni,The Plurals Party,1697,2,1699,0.87,93
14,15,Sukhdeo Prasad,Voters Party  International,3635,1,3636,1.86,93
15,16,Harindra Choudhary,Bajjikanchal Vikas Party,4354,1,4355,2.23,93
16,17,Ashok Kumar Gupta,Independent,2425,0,2425,1.24,93
17,18,Deepak Kumar Chanchal,Independent,3148,6,3154,1.62,93
18,19,Sanjay Kumar,Independent,4796,6,4802,2.46,93
19,20,NOTA,None of the Above,1137,4,1141,0.58,93
0,1,BIJENDRA CHAUDHARY,Indian National Congress,81307,564,81871,48.16,94
1,2,VIBHUTI PRIYAM,Nationalist Congress Party,503,3,506,0.3,94
2,3,SURESH KUMAR SHARMA,Bharatiya Janata Party,75175,370,75545,44.44,94
3,4,AJAY KUMAR (S/O RAGHUNATH OJHA),Bajjikanchal Vikas Party,513,0,513,0.3,94
4,5,MD. AMIN,Bhartiya Party (Loktantrik),138,0,138,0.08,94
5,6,ARVIND KUMAR CHAUDHARY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),105,2,107,0.06,94
6,7,AVINASH KUMAR,Loktantrik Janta Dal,123,0,123,0.07,94
7,8,KUNDAN KUMAR,Bhartiya Sanyukt Kisan Party,102,0,102,0.06,94
8,9,KUMAR HARSH,Janmat Party,173,0,173,0.1,94
9,10,KUMARI JAYA PRABHA,Bharatiya Jan Kranti Dal (Democratic),135,1,136,0.08,94
10,11,KUMARESHWAR SAHAY,Vanchit Bahujan Aaghadi,196,0,196,0.12,94
11,12,DHANAVATI DEVI,Lok  Chetna  Dal,201,1,202,0.12,94
12,13,DHARVINDRA KUMAR,Republican Party of India (A),229,0,229,0.13,94
13,14,PALLAVI SINHA,The Plurals Party,3504,18,3522,2.07,94
14,15,MANOJ KUMAR,Janta Dal Rashtravadi,345,1,346,0.2,94
15,16,RAVI ATAL,Jan Adhikar Party (Loktantrik),1552,0,1552,0.91,94
16,17,RAM BABU SAH,Jantantrik Vikas Party,1551,1,1552,0.91,94
17,18,RAMDHANI MAHATO,Bahujan Mukti Party,198,9,207,0.12,94
18,19,SHIVA BIHARI SINGHANIA,Bharat Nirman Party,569,1,570,0.34,94
19,20,SANJAY KUMAR,Samajwadi Janata Dal Democratic,136,0,136,0.08,94
20,21,AJAY KUMAR (S/O NARAYAN SINGH),Independent,60,1,61,0.04,94
21,22,AMROOP KUMAR,Independent,68,0,68,0.04,94
22,23,DEVA NAND SINGH,Independent,73,1,74,0.04,94
23,24,NAQUI AHMAD,Independent,135,0,135,0.08,94
24,25,PAPPU KUMAR,Independent,138,0,138,0.08,94
25,26,PRAVEEN JEET PUSHKAR,Independent,137,1,138,0.08,94
26,27,RAJESHWAR PRASAD,Independent,180,0,180,0.11,94
27,28,SURESH KUMAR GUPTA,Independent,243,3,246,0.14,94
28,29,NOTA,None of the Above,1243,2,1245,0.73,94
0,1,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,64220,238,64458,32.89,95
1,2,MOHAMMAD JAMAL,Janata Dal (United),25837,54,25891,13.21,95
2,3,RAJENDRA KUMAR,Bahujan Samaj Party,1296,6,1302,0.66,95
